area,rent,rent_score,traffic_score,metro_score,weather_score,civic_score,area_score
electronic city,25000.0,100.0,61.53846153846154,100.0,40.0,33.33333333333334,71.38461538461539
hsr layout,33333.333333333336,41.860465116279066,90.38461538461539,87.5,60.0,63.333333333333336,69.06127012522361
koramangala,39333.333333333336,0.0,100.0,75.0,80.0,74.44444444444444,63.166666666666664
whitefield,29333.333333333332,69.76744186046513,63.46153846153846,100.0,30.0,0.0,57.8072450805009
